8.946922	11.873821	w
8.946922	8.946922	q
11.080321	11.080321	e
12.826022	12.826022	r
13.884023	13.884023	e
14.994924	14.994924	w
20.972628	20.972628	q
21.554528	21.554528	w
22.718329	22.718329	e
22.982829	22.982829	r
24.516931	24.516931	w
25.733631	25.733631	q
33.351237	33.351237	q
34.620838	34.620838	w
35.573039	35.573039	e
36.102039	38.270941	r
37.212940	37.212940	e
41.074643	41.074643	q
41.074643	43.296444	w
43.296444	43.296444	r
45.200846	45.200846	q
46.100146	46.100146	w
46.999447	46.999447	r
48.586448	50.702450	q
48.586448	48.586448	e
54.101828	54.101828	e
54.101828	54.101828	q
55.108374	56.744011	w
57.247284	57.247284	e
58.128011	61.650921	r
59.889466	59.889466	e
69.451649	69.451649	q
69.451649	73.226196	w
69.451649	69.451649	e
71.213104	71.213104	r
72.471286	72.471286	q
73.566182	73.566182	e
76.558660	76.558660	w
77.231967	77.231967	r
79.551138	79.551138	w
79.551138	79.551138	q
80.448881	80.448881	w
80.972565	80.972565	e
82.244368	82.244368	r
83.291736	83.291736	e
84.114667	84.114667	q
86.284214	86.284214	w
87.192016	87.192016	e
87.632380	87.632380	q
88.953471	88.953471	r
90.085835	90.085835	q
91.406926	91.406926	e
91.847290	91.847290	q
94.300745	94.300745	q
94.992745	94.992745	r
97.081003	97.081003	q
97.081003	97.081003	w
97.703771	97.703771	r
98.015155	98.015155	w
98.548957	98.548957	r
102.552467	102.552467	q
102.730401	105.176991	w
102.863852	102.863852	e
103.531103	103.531103	r
104.732157	104.732157	e
105.176991	105.176991	q
107.178747	107.178747	e
107.178747	108.824634	q
107.979449	107.979449	w
108.602217	108.602217	e
109.224985	109.224985	r
109.847754	109.847754	q
110.070171	110.070171	w
114.785417	114.785417	w
115.141285	117.098557	q
116.386821	116.386821	e
117.943742	117.943742	r
119.278246	119.278246	w
119.278246	120.612749	q
120.523783	120.523783	e
120.964146	120.964146	q
122.285237	122.285237	r
123.417601	123.417601	q
132.884898	132.884898	|
15.112014	18.038913	w
15.112014	15.112014	q
17.245413	17.245413	e
18.991114	18.991114	r
20.049115	20.049115	e
21.160016	21.160016	w
27.137720	27.137720	q
27.719620	27.719620	w
28.883421	28.883421	e
29.147921	29.147921	r
30.682023	30.682023	w
31.898724	31.898724	q
39.516329	39.516329	q
40.785930	40.785930	w
41.738131	41.738131	e
42.267131	44.436033	r
43.378032	43.378032	e
47.239735	47.239735	q
47.239735	49.461536	w
49.461536	49.461536	r
51.365938	51.365938	q
52.265239	52.265239	w
53.164539	53.164539	r
54.751540	56.867542	q
54.751540	54.751540	e
60.266920	60.266920	e
60.266920	60.266920	q
61.273466	62.909103	w
63.412376	63.412376	e
64.293103	67.816013	r
66.054558	66.054558	e
75.616742	75.616742	q
75.616742	79.391288	w
75.616742	75.616742	e
77.378196	77.378196	r
78.636378	78.636378	q
79.731274	79.731274	e
82.723752	82.723752	w
83.397059	83.397059	r
85.716230	85.716230	w
85.716230	85.716230	q
86.613973	86.613973	w
87.137657	87.137657	e
88.409460	88.409460	r
89.456828	89.456828	e
90.279759	90.279759	q
92.449306	92.449306	w
93.357108	93.357108	e
93.797472	93.797472	q
95.118563	95.118563	r
96.250927	96.250927	q
97.572018	97.572018	e
98.012382	98.012382	q
100.465837	100.465837	q
101.157837	101.157837	r
103.246095	103.246095	q
103.246095	103.246095	w
103.868863	103.868863	r
104.180247	104.180247	w
104.714049	104.714049	r
108.717560	108.717560	q
108.895493	111.342083	w
109.028944	109.028944	e
109.696195	109.696195	r
110.897249	110.897249	e
111.342083	111.342083	q
113.343839	113.343839	e
113.343839	114.989726	q
114.144541	114.144541	w
114.767309	114.767309	e
115.390077	115.390077	r
116.012846	116.012846	q
116.235263	116.235263	w
120.950509	120.950509	w
121.306377	123.263649	q
122.551913	122.551913	e
124.108834	124.108834	r
125.443338	125.443338	w
125.443338	126.777842	q
126.688875	126.688875	e
127.129238	127.129238	q
128.450329	128.450329	r
129.582693	129.582693	q
